id,type,question,option1,option2,option3,option4,solution,timestamp
1,Computer,Which of the following is the largest unit of storage?,GB,KB,MB,TB,A,30-10-2019 16:10
2,Computer,________ bits equal one byte.,Eight,Two,One thousand,One million,A,30-10-2019 16:10
3,Computer,Which of the following is the correct order of the four major functions of a compute?,"process, Output, Input, storage","Input, Output, Process, Storage","Process, Storage, Input, Output","Input, Process, Output, Storage",D,30-10-2019 16:10
4,Computer,?MICR? Technology used for clearance of cheques by banks refers to-,Magnetic Ink character Recognition ,Magnetic Intelligence Character Recognition,Magnetic information cable Recognition,magnetic Insurance Cases Recognition,A,30-10-2019 16:10
5,Computer,Chief Component of first generation computer was-,Transistors ,Vacuum Tubes and Valves,Integrated Circuit,Semiconductor,B,30-10-2019 16:10
6,Computer,Computer size was very large in-,First Generation,Second Generation,Third Generation,Fourth Generation,A,30-10-2019 16:10
7,Computer,Mega is 2 to the power of,10,20,30,40,B,30-10-2019 16:10
8,Computer,Microprocessor can be used in making-,Computer,digital systems,Calculator,All the above,D,30-10-2019 16:10
9,Computer,What are Laptops?,Computers used in Clinical Laboratories,A Computer manufactured by compaq.,A computer having voice recognition system,"Lightweight Computers, small enough to fit in a small suitcase",D,30-10-2019 16:10
10,Computer,Which of the following is a temporary primary memory?,Floppy Disk,Hard Disk,CD ROM,Zip Desk,B,30-10-2019 16:10
11,Computer,Which of the following is a temporary primary memory?,PROM,RAM,ROM,EROM,B,30-10-2019 16:10
12,Computer,The basic operation preformed by a computer is__________.,Arithmetic operation,Logical operation,Storage and relative,All of these,D,30-10-2019 16:10
13,Computer,ALU stands,Arithmetic logic unit,Arithmetic and logic unit,all longer unit,Around logical unit,A,30-10-2019 16:10
14,Computer,Which of the following is the correct order of the four major functions of a computer?,Input: output : Process : storage,Input: Process: Output: storage,Process: Output: Input: storage,Process: storage: Input: Output ,B,30-10-2019 16:10
15,Computer,_______ bits equal one byte,2,1000,8,1064,C,30-10-2019 16:10
16,Computer,A byte can hold one _____ of data,Bit,Kilobyte,Character,Binary digit,C,30-10-2019 16:10
17,Computer,"After a picture has been taken with a digital camera and processed appropriately, the actual print of the picture",Data,Input,output,Store,C,30-10-2019 16:10
18,Computer,A string of eight 0?s & 1?s is called a:,Megabyte,Byte,Kilobyte,Gigabyte,B,30-10-2019 16:10
19,Computer,Which of the following is an output device?,Scanner,Printer ,Flat screen,Touch Screen,B,30-10-2019 16:10
20,Computer,Which of the following storage devices can store maximum amount of data?,Floppy Disk,Hard Disk,Compact Disk,Magneto optic Disk,B,30-10-2019 16:10
21,Computer,One Terra Byte (TB) is equal to-,1000 GB,1050 GB,1024 GB,1025 GB,C,30-10-2019 16:10
22,Computer,"Which among the following is a device, that is used in computer to add external components?",USB,Keyboard,Ports/System Boards,HDD,C,30-10-2019 16:10
23,Computer,Which of the following is a part of the Central Processing Unit?,Printer,Key board,Mouse,Arithmetic & Logic Unit  ,D,30-10-2019 16:10
24,Computer,How many options does a BINARY choice offer-,None,One,Two,It depends on the amount of memory on the computer,C,30-10-2019 16:10
25,Computer,Example of output devices are-,Screen,Printer,Speaker,All of these,D,30-10-2019 16:10
26,Computer,SMPS stands for-,Switch mode Power Supply,Start mode power supply,Store mode power supply,Single mode power supply,A,30-10-2019 16:10
27,Computer,Computers that are portable and convenient for users who travel are known as_____.,Supercomputers,laptops,Minicomputers,file servers,B,30-10-2019 16:10
28,Computer,Arithmetic operations ______.,"involve matching one data item to another to determine if the first item to another to   determine if the first item is greater than, equal to, or less than the other item.","sort data items according to standard, predefined criteria in ascending order or descending","use conditions with operators such as AND, OR, and NOT","include addition, subtraction, multiplication, and division",D,30-10-2019 16:10
29,Computer,A keyboard is this kind of device.,scanning,black,output,input,D,30-10-2019 16:10
30,Computer,A ??? is hardware used to read disks.,floppy disk,hardware,software,disk drive,D,30-10-2019 16:10
31,Computer,The ???.. is the brain of the computer.,hardware,hard disk,CPU,floppy disk,C,30-10-2019 16:10
